,asv,direction,domain,conf.d,phylum,conf.p,class,conf.c,order,conf.o,family,conf.f,genus,conf.g,species,conf.s,num
ASV249,ASV249,+,Fungi,100,Basidiomycota,100,Tremellomycetes,100,Tremellales,100,Incertae_sedis_12,100,Incertae_sedis_12_unidentified,100,Tremellales_sp|SH197178.06FU,100,249
ASV250,ASV250,+,Fungi,100,Ascomycota,100,Dothideomycetes,100,Pleosporales,100,Phaeosphaeriaceae,100,Ophiosphaerella,100,Ophiosphaerella_sp|SH192546.06FU,100,250
ASV252,ASV252,+,Fungi,100,,68,,18,,16,,1,,0,,0,252
ASV254,ASV254,+,Fungi,100,Ascomycota,100,Dothideomycetes,100,Pleosporales,100,Lophiostomataceae,100,Lophiostoma,100,Lophiostoma_fuckelii|SH237048.06FU,100,254
ASV256,ASV256,+,Fungi,100,Basidiomycota,100,Tremellomycetes,100,Cystofilobasidiales,100,Cystofilobasidiaceae,100,Udeniomyces,100,Udeniomyces_megalosporus|SH207895.06FU,100,256
ASV257,ASV257,+,Fungi,100,Basidiomycota,99,Microbotryomycetes,99,Sporidiobolales,99,Incertae_sedis_25,99,Sporobolomyces,99,,51,257
ASV258,ASV258,+,Fungi,100,Basidiomycota,100,Ustilaginomycetes,96,Ustilaginales,96,Ustilaginaceae,96,,49,,39,258
ASV259,ASV259,+,Fungi,100,Fungi_unidentified,100,Fungi_unidentified_1,100,Fungi_unidentified_1,100,Fungi_unidentified_1_1,100,Fungi_unidentified_1_1,100,Fungi_sp|SH189980.06FU,100,259
ASV260,ASV260,+,Fungi,100,Ascomycota,100,Dothideomycetes,98,Dothideomycetes_unidentified,94,Dothideomycetes_unidentified_1,94,Dothideomycetes_unidentified_1,94,Dothideomycetes_sp|SH227809.06FU,94,260
ASV262,ASV262,+,Fungi,100,Ascomycota,100,Dothideomycetes,100,Pleosporales,100,Pleosporaceae,100,Bipolaris,98,Bipolaris_microstegii|SH224794.06FU,98,262
ASV264,ASV264,+,Fungi,100,Ascomycota,100,Ascomycota_unidentified,100,Ascomycota_unidentified_1,100,Ascomycota_unidentified_1,100,Ascomycota_unidentified_1_1,100,Ascomycota_sp|SH224125.06FU,100,264
ASV265,ASV265,+,Fungi,100,Ascomycota,100,Ascomycota_unidentified,100,Ascomycota_unidentified_1,100,Ascomycota_unidentified_1,100,Ascomycota_unidentified_1_1,100,Ascomycota_sp|SH196179.06FU,100,265
ASV266,ASV266,+,Fungi,100,Ascomycota,100,Dothideomycetes,98,Capnodiales,97,,28,,28,,28,266
ASV267,ASV267,+,Fungi,100,Ascomycota,100,Dothideomycetes,97,Capnodiales,96,Teratosphaeriaceae,75,,51,,48,267
ASV268,ASV268,+,Fungi,100,Ascomycota,100,Dothideomycetes,100,Pleosporales,100,Pleosporaceae,100,Cochliobolus,98,Cochliobolus_cynodontis|SH197546.06FU,98,268
ASV269,ASV269,+,Fungi,100,Ascomycota,85,,28,,10,,7,,7,,7,269
ASV270,ASV270,+,Fungi,100,Ascomycota,100,Sordariomycetes,100,Hypocreales,100,Incertae_sedis_3,100,Sarocladium,100,Sarocladium_strictum|SH191575.06FU,100,270
ASV271,ASV271,+,Fungi,100,Ascomycota,100,Dothideomycetes,100,Dothideales,100,Dothioraceae,100,Aureobasidium,100,Aureobasidium_sp|SH206630.06FU,99,271
ASV272,ASV272,+,Fungi,100,Ascomycota,94,,61,,61,,61,,61,,61,272
ASV273,ASV273,+,Fungi,100,Ascomycota,100,Dothideomycetes,100,Capnodiales,100,Mycosphaerellaceae,100,Sphaerulina,92,Sphaerulina_pseudovirgaureae|SH212655.06FU,92,273
ASV274,ASV274,+,Fungi,100,Basidiomycota,100,Cystobasidiomycetes,100,Erythrobasidiales,100,Incertae_sedis_41,100,Erythrobasidium,100,Erythrobasidium_hasegawianum|SH239324.06FU,100,274
ASV275,ASV275,+,Fungi,100,Ascomycota,100,,65,,65,,65,,65,,65,275
ASV277,ASV277,+,Fungi,100,Basidiomycota,100,Tremellomycetes,100,Filobasidiales,100,Filobasidiaceae,100,Cryptococcus,100,Cryptococcus_wieringae|SH216503.06FU,100,277
ASV279,ASV279,+,Fungi,100,Basidiomycota,95,Tremellomycetes,91,Tremellales,90,Incertae_sedis_12,90,Dioszegia,85,Dioszegia_takashimae|SH196965.06FU,74,279
ASV280,ASV280,+,Fungi,100,Fungi_unidentified,100,Fungi_unidentified_1,100,Fungi_unidentified_1,100,Fungi_unidentified_1_1,100,Fungi_unidentified_1_1,100,Fungi_sp|SH213113.06FU,100,280
ASV281,ASV281,+,Fungi,100,Ascomycota,71,,25,,13,,2,,2,,2,281
ASV283,ASV283,+,Fungi,100,Ascomycota,100,Dothideomycetes,100,Pleosporales,100,Pleosporaceae,100,Pleosporaceae_unidentified,100,Pleosporaceae_sp|SH224807.06FU,100,283
ASV284,ASV284,+,Fungi,100,Ascomycota,99,,43,,43,,43,,43,,43,284
ASV286,ASV286,+,Fungi,100,Basidiomycota,100,Exobasidiomycetes,100,Exobasidiomycetes_unidentified,100,Exobasidiomycetes_unidentified_1,100,Exobasidiomycetes_unidentified_1,100,Exobasidiomycetes_sp|SH199847.06FU,100,286
ASV287,ASV287,+,Fungi,100,Basidiomycota,100,Ustilaginomycetes,100,Ustilaginales,100,Ustilaginaceae,100,Pseudozyma,98,Pseudozyma_sp_Vega417|SH241684.06FU,98,287
ASV288,ASV288,+,Fungi,100,,59,,59,,59,,59,,59,,59,288
ASV289,ASV289,+,Fungi,100,Ascomycota,100,Taphrinomycetes,100,Taphrinales,100,Taphrinaceae,100,Taphrina,89,Taphrina_americana|SH211018.06FU,79,289
ASV290,ASV290,+,Fungi,100,Ascomycota,100,Dothideomycetes,100,Capnodiales,100,Teratosphaeriaceae,97,Devriesia,97,Devriesia_sp|SH195036.06FU,96,290
ASV291,ASV291,+,Fungi,100,Ascomycota,100,Dothideomycetes,100,Pleosporales,100,Pleosporaceae,100,Alternaria,100,Alternaria_sp|SH240071.06FU,100,291
ASV292,ASV292,+,Fungi,100,Basidiomycota,100,Microbotryomycetes,100,Sporidiobolales,100,Incertae_sedis_25,100,Sporobolomyces,100,Sporobolomyces_ruberrimus|SH196707.06FU,100,292
ASV294,ASV294,+,Fungi,100,Ascomycota,99,Dothideomycetes,99,Pleosporales,99,,69,,67,,66,294
ASV295,ASV295,+,Fungi,100,Ascomycota,92,Dothideomycetes,79,,58,,31,,31,,25,295
ASV296,ASV296,+,Fungi,100,Ascomycota,86,,34,,34,,34,,34,,30,296
ASV297,ASV297,+,Fungi,100,Ascomycota,100,Sordariomycetes,100,Sordariomycetes_unidentified,88,Sordariomycetes_unidentified_1,88,Sordariomycetes_unidentified_1,88,Sordariomycetes_sp|SH237076.06FU,71,297
ASV298,ASV298,+,Fungi,100,Ascomycota,90,,18,,18,,18,,9,,9,298
ASV300,ASV300,+,Fungi,100,,62,,5,,5,,4,,4,,3,300
ASV302,ASV302,+,Fungi,100,Ascomycota,100,Ascomycota_unidentified,100,Ascomycota_unidentified_1,100,Ascomycota_unidentified_1,100,Ascomycota_unidentified_1_1,100,Ascomycota_sp|SH237537.06FU,100,302
ASV304,ASV304,+,Fungi,100,Ascomycota,100,Dothideomycetes,100,Pleosporales,100,Pleosporaceae,100,Bipolaris,98,Bipolaris_microstegii|SH224794.06FU,98,304
ASV306,ASV306,+,Fungi,100,Basidiomycota,100,Microbotryomycetes,100,Sporidiobolales,100,Incertae_sedis_25,100,Sporobolomyces,100,Sporobolomyces_symmetricus|SH227541.06FU,96,306
ASV307,ASV307,+,Fungi,100,Ascomycota,99,Dothideomycetes,99,Capnodiales,99,Incertae_sedis_17,99,Toxicocladosporium,99,Toxicocladosporium_strelitziae|SH196751.06FU,89,307
ASV308,ASV308,+,Fungi,100,,50,,4,,4,,4,,4,,3,308
ASV309,ASV309,+,Fungi,100,Ascomycota,100,Ascomycota_unidentified,100,Ascomycota_unidentified_1,100,Ascomycota_unidentified_1,100,Ascomycota_unidentified_1_1,100,Ascomycota_sp|SH213440.06FU,100,309
ASV310,ASV310,+,Fungi,100,Basidiomycota,97,Tremellomycetes,79,Tremellales,77,Incertae_sedis_12,74,,50,,17,310
ASV311,ASV311,+,Fungi,100,Basidiomycota,100,Tremellomycetes,100,Filobasidiales,87,Filobasidiaceae,87,Cryptococcus,87,Cryptococcus_sp|SH223310.06FU,85,311
ASV312,ASV312,+,Fungi,99,Basidiomycota,73,,32,,15,,6,,6,,6,312
ASV313,ASV313,+,Fungi,100,Basidiomycota,100,Tremellomycetes,99,Tremellales,99,Incertae_sedis_12,99,Cryptococcus_1,99,Cryptococcus_rajasthanensis|SH229455.06FU,95,313
ASV314,ASV314,+,Fungi,100,Ascomycota,100,Dothideomycetes,100,Capnodiales,100,Mycosphaerellaceae,100,Pseudocercospora,100,Pseudocercospora_dovyalidis|SH212656.06FU,100,314
ASV315,ASV315,+,Fungi,100,Basidiomycota,100,Tremellomycetes,100,Tremellales,100,Incertae_sedis_12,100,Incertae_sedis_12_unidentified,100,Tremellales_sp|SH197178.06FU,100,315
ASV316,ASV316,+,Fungi,100,Ascomycota,100,Dothideomycetes,100,Pleosporales,100,Phaeosphaeriaceae,100,Phaeosphaeriaceae_unidentified,100,Phaeosphaeriaceae_sp|SH206979.06FU,100,316
ASV318,ASV318,+,Fungi,100,Basidiomycota,100,Microbotryomycetes,100,Sporidiobolales,100,Incertae_sedis_25,100,Rhodotorula,100,Rhodotorula_nothofagi|SH223682.06FU,100,318
ASV319,ASV319,+,Fungi,100,Basidiomycota,100,Tremellomycetes,100,Filobasidiales,100,Filobasidiaceae,100,Cryptococcus,100,Cryptococcus_sp|SH223310.06FU,100,319
ASV322,ASV322,+,Fungi,100,Basidiomycota,100,Exobasidiomycetes,100,Exobasidiomycetes_unidentified,99,Exobasidiomycetes_unidentified_1,99,Exobasidiomycetes_unidentified_1,99,Exobasidiomycetes_sp|SH199847.06FU,99,322
ASV323,ASV323,+,Fungi,100,Ascomycota,100,Sordariomycetes,100,Hypocreales,100,Hypocreales_unidentified,100,Hypocreales_unidentified_1,100,Hypocreales_sp|SH197882.06FU,100,323
ASV325,ASV325,+,Fungi,100,Basidiomycota,92,Tremellomycetes,82,Filobasidiales,75,,62,,56,,56,325
ASV326,ASV326,+,Fungi,100,Basidiomycota,100,Tremellomycetes,100,Tremellales,100,Incertae_sedis_12,100,Cryptococcus_1,100,Cryptococcus_victoriae|SH198055.06FU,100,326
ASV327,ASV327,+,Fungi,100,,54,,19,,19,,17,,17,,17,327
ASV329,ASV329,+,Fungi,100,Fungi_unidentified,94,Fungi_unidentified_1,94,Fungi_unidentified_1,94,Fungi_unidentified_1_1,94,Fungi_unidentified_1_1,94,Fungi_sp|SH232796.06FU,94,329
ASV333,ASV333,+,Fungi,100,Ascomycota,100,Dothideomycetes,100,Capnodiales,100,Mycosphaerellaceae,100,Sphaerulina,77,Sphaerulina_pseudovirgaureae|SH212655.06FU,77,333
ASV334,ASV334,+,Fungi,100,Ascomycota,93,,33,,6,,6,,6,,6,334
ASV336,ASV336,+,Fungi,100,Ascomycota,100,Sordariomycetes,100,Hypocreales,100,Incertae_sedis_3,100,Myrothecium,100,Myrothecium_sp_HZ_6|SH199487.06FU,87,336
ASV338,ASV338,+,Fungi,100,Ascomycota,100,Dothideomycetes,100,Pleosporales,100,Pleosporales_unidentified,100,Pleosporales_unidentified_1,100,Pleosporales_sp|SH229317.06FU,100,338
ASV339,ASV339,+,Fungi,100,Ascomycota,92,Eurotiomycetes,92,Chaetothyriales,92,,62,,62,,61,339
ASV340,ASV340,+,Fungi,100,Ascomycota,100,,69,,69,,69,,65,,64,340
ASV341,ASV341,+,Fungi,100,Fungi_unidentified,94,Fungi_unidentified_1,94,Fungi_unidentified_1,94,Fungi_unidentified_1_1,94,Fungi_unidentified_1_1,94,Fungi_sp|SH232796.06FU,94,341
ASV342,ASV342,+,Fungi,100,Ascomycota,100,,49,,49,,49,,49,,49,342
ASV343,ASV343,+,Fungi,100,Ascomycota,100,Dothideomycetes,100,Capnodiales,100,Mycosphaerellaceae,100,Dissoconium,100,Dissoconium_proteae|SH197939.06FU,100,343
