,asv,direction,domain,conf.d,phylum,conf.p,class,conf.c,order,conf.o,family,conf.f,genus,conf.g,species,conf.s,num
ASV989,ASV989,+,Fungi,100,Basidiomycota,100,Agaricomycetes,100,Polyporales,100,Meruliaceae,92,Phlebia,92,Phlebia subochracea,90,989
ASV993,ASV993,+,Fungi,100,Basidiomycota,85,Agaricomycetes,76,,59,,9,,9,,7,993
ASV994,ASV994,+,Fungi,100,Ascomycota,99,Dothideomycetes,99,Pleosporales,99,Leptosphaeriaceae,97,Leptosphaeria,97,Leptosphaeria lindquistii,96,994
ASV995,ASV995,+,Fungi,100,Basidiomycota,100,Agaricomycetes,100,Agaricales,100,Schizophyllaceae,100,Schizophyllum,100,Schizophyllum commune,99,995
ASV997,ASV997,+,Fungi,100,Ascomycota,100,Dothideomycetes,97,Capnodiales,97,,51,,48,,44,997
ASV998,ASV998,+,Fungi,100,Basidiomycota,84,,69,,37,,5,,4,,4,998
ASV1009,ASV1009,+,Fungi,100,Ascomycota,100,Sordariomycetes,100,Hypocreales,99,Hypocreales_Incertae sedis,97,Myrothecium,96,Myrothecium leucotrichum,96,1009
ASV1024,ASV1024,+,Fungi,100,Ascomycota,91,,44,,11,,11,,3,,3,1024
ASV1031,ASV1031,+,Fungi,100,,26,,5,,5,,3,,3,,3,1031
ASV1033,ASV1033,+,Fungi,100,Basidiomycota,100,Microbotryomycetes,100,Sporidiobolales,100,Sporidiobolales_Incertae sedis,100,Rhodotorula,100,Rhodotorula ingeniosa,94,1033
ASV1057,ASV1057,+,Fungi,100,Ascomycota,98,Dothideomycetes,98,Capnodiales,81,Mycosphaerellaceae,81,Septoria,81,Septoria arundinacea,81,1057
ASV1060,ASV1060,+,Fungi,100,Basidiomycota,100,Agaricomycetes,100,Russulales,100,Peniophoraceae,100,,61,,61,1060
ASV1063,ASV1063,+,Fungi,100,Ascomycota,71,,18,,12,,9,,7,,7,1063
ASV1064,ASV1064,+,Fungi,100,Ascomycota,100,Sordariomycetes,100,Diaporthales,100,Diaporthaceae,100,Diaporthe,100,Phomopsis longicolla,96,1064
ASV1066,ASV1066,+,Fungi,100,Basidiomycota,100,Agaricomycetes,100,Polyporales,100,Steccherinaceae,100,Irpex,100,Irpex lacteus,99,1066
ASV1067,ASV1067,+,Fungi,100,Basidiomycota,100,Exobasidiomycetes,100,Entylomatales,100,Entylomataceae,100,Entyloma,100,,31,1067
ASV1076,ASV1076,+,Fungi,100,Ascomycota,97,,67,,67,,67,,67,,43,1076
ASV1079,ASV1079,+,Fungi,100,Ascomycota,97,Dothideomycetes,84,Pleosporales,84,Phaeosphaeriaceae,71,,18,,15,1079
ASV1086,ASV1086,+,Fungi,100,Ascomycota,100,Sordariomycetes,100,Xylariales,98,,58,,40,,40,1086
ASV1087,ASV1087,+,Fungi,100,Basidiomycota,92,Tremellomycetes,84,Tremellales,77,Tremellaceae,74,Cryptococcus,74,,29,1087
ASV1090,ASV1090,+,Fungi,100,,56,,30,,30,,30,,13,,6,1090
ASV1110,ASV1110,+,Fungi,100,Basidiomycota,100,Exobasidiomycetes,99,Tilletiales,99,Tilletiaceae,99,Tilletia,99,Tilletia moliniae,75,1110
ASV1112,ASV1112,+,Fungi,100,Ascomycota,95,Dothideomycetes,89,Pleosporales,89,Lophiostomataceae,79,Massarina,79,Massarina igniaria,77,1112
ASV1113,ASV1113,+,Fungi,100,Ascomycota,85,Dothideomycetes,75,Pleosporales,75,Lophiostomataceae,71,Lophiostoma,70,,45,1113
ASV1117,ASV1117,+,Fungi,100,Ascomycota,99,Sordariomycetes,98,,63,,56,,30,,30,1117
ASV1118,ASV1118,+,Fungi,100,Ascomycota,100,Sordariomycetes,100,Hypocreales,100,Hypocreales_Incertae sedis,100,Emericellopsis,100,,37,1118
ASV1123,ASV1123,+,Fungi,100,Ascomycota,78,,50,,45,,24,,24,,24,1123
ASV1124,ASV1124,+,Fungi,100,Ascomycota,78,,63,,62,,53,,38,,14,1124
ASV1127,ASV1127,+,Fungi,100,Basidiomycota,86,Agaricomycetes,74,,60,,60,,28,,28,1127
ASV1131,ASV1131,+,Fungi,100,Basidiomycota,100,Agaricomycetes,100,Polyporales,99,,51,,51,,51,1131
ASV1136,ASV1136,+,Fungi,100,Basidiomycota,88,Agaricomycetes,74,,35,,6,,6,,6,1136
ASV1181,ASV1181,+,Fungi,100,Ascomycota,100,Eurotiomycetes,100,Chaetothyriales,100,Chaetothyriales_Incertae sedis,100,Strelitziana,100,Strelitziana africana,100,1181
ASV1196,ASV1196,+,Fungi,100,Basidiomycota,100,Agaricomycetes,100,Polyporales,100,Meruliaceae,100,Phlebia,100,Mycoacia fuscoatra,100,1196
ASV1227,ASV1227,+,Fungi,100,Basidiomycota,95,Agaricomycetes,94,,55,,29,,28,,14,1227
