"","plot","troph","sum"
"331",188,Saprotroph,4074
"332",188,Symbiotroph,14
"333",189,na,2033
"334",189,Pathotroph,4286
"335",189,Saprotroph,5454
"336",189,Symbiotroph,10
"337",19,na,1167
"338",19,Pathotroph,0
"339",19,Saprotroph,971
"340",19,Symbiotroph,29
"341",190,na,1092
"342",190,Pathotroph,2631
"343",190,Saprotroph,2588
"344",190,Symbiotroph,0
"345",191,na,1204
"346",191,Pathotroph,2343
"347",191,Saprotroph,3943
"348",191,Symbiotroph,8
"349",192,na,1386
"350",192,Pathotroph,4933
"351",192,Saprotroph,5935
"352",192,Symbiotroph,9
"353",20,na,66
"354",20,Pathotroph,0
"355",20,Saprotroph,152
"356",20,Symbiotroph,0
"357",205,na,1409
"358",205,Pathotroph,505
"359",205,Saprotroph,1298
"360",205,Symbiotroph,0
"361",206,na,3806
"362",206,Pathotroph,899
"363",206,Saprotroph,2688
"364",206,Symbiotroph,11
"365",207,na,4295
"366",207,Pathotroph,698
"367",207,Saprotroph,1339
"368",207,Symbiotroph,12
"369",208,na,2297
"370",208,Pathotroph,258
"371",208,Saprotroph,1354
"372",208,Symbiotroph,8
"373",209,na,2279
"374",209,Pathotroph,380
"375",209,Saprotroph,2653
"376",209,Symbiotroph,10
"377",21,na,546
"378",21,Pathotroph,14
"379",21,Saprotroph,725
"380",21,Symbiotroph,0
"381",210,na,2409
"382",210,Pathotroph,237
"383",210,Saprotroph,2707
"384",210,Symbiotroph,23
"385",211,na,2004
"386",211,Pathotroph,457
"387",211,Saprotroph,1458
"388",211,Symbiotroph,19
"389",212,na,3317
"390",212,Pathotroph,521
"391",212,Saprotroph,1854
"392",212,Symbiotroph,4
"393",213,na,5660
"394",213,Pathotroph,169
"395",213,Saprotroph,3263
"396",213,Symbiotroph,26
"397",214,na,2788
"398",214,Pathotroph,71
"399",214,Saprotroph,3472
"400",214,Symbiotroph,13
"401",215,na,1680
"402",215,Pathotroph,419
"403",215,Saprotroph,2546
"404",215,Symbiotroph,17
"405",216,na,1886
"406",216,Pathotroph,236
"407",216,Saprotroph,2667
"408",216,Symbiotroph,16
"409",217,na,1017
"410",217,Pathotroph,3457
"411",217,Saprotroph,3571
"412",217,Symbiotroph,25
"413",218,na,1497
"414",218,Pathotroph,3609
"415",218,Saprotroph,6066
"416",218,Symbiotroph,89
"417",219,na,773
"418",219,Pathotroph,3719
"419",219,Saprotroph,3927
"420",219,Symbiotroph,23
"421",22,na,300
"422",22,Pathotroph,0
"423",22,Saprotroph,352
"424",22,Symbiotroph,5
"425",220,na,3366
"426",220,Pathotroph,1110
"427",220,Saprotroph,6930
"428",220,Symbiotroph,377
"429",221,na,1743
"430",221,Pathotroph,998
"431",221,Saprotroph,5706
"432",221,Symbiotroph,202
"433",222,na,3542
"434",222,Pathotroph,1194
"435",222,Saprotroph,4086
"436",222,Symbiotroph,448
"437",223,na,2257
"438",223,Pathotroph,386
"439",223,Saprotroph,4107
"440",223,Symbiotroph,206
"441",224,na,3761
"442",224,Pathotroph,122
"443",224,Saprotroph,2382
"444",224,Symbiotroph,528
"445",225,na,3533
"446",225,Pathotroph,243
"447",225,Saprotroph,4415
"448",225,Symbiotroph,486
"449",226,na,3300
"450",226,Pathotroph,608
"451",226,Saprotroph,6670
"452",226,Symbiotroph,429
"453",227,na,4713
"454",227,Pathotroph,72
"455",227,Saprotroph,2743
"456",227,Symbiotroph,629
"457",228,na,6114
"458",228,Pathotroph,439
"459",228,Saprotroph,3756
